day_index,step,P_load_kW,P_pv_kW,day_type
1,87,96.38896551724137,0.0,working
1,88,63.059999999999995,0.0,working
1,89,41.274594594594596,0.0,working
1,90,40.8119540229885,0.0,working
1,91,40.733636363636364,0.0,working
1,92,41.96272727272728,0.0,working
1,93,45.05157894736842,0.0,working
1,94,44.59227272727273,0.0,working
1,95,43.405517241379314,0.0,working
2,0,43.85382716049383,0.0,working
2,1,44.07244444444444,0.0,working
2,2,44.85688888888889,0.0,working
2,3,45.20444444444445,0.0,working
2,4,45.763555555555556,0.0,working
2,5,43.74133333333333,0.0,working
2,6,43.12177777777778,0.0,working
2,7,43.58,0.0,working
2,8,43.016444444444446,0.0,working
2,9,43.70488888888889,0.0,working
2,10,42.18977777777778,0.0,working
2,11,41.83244444444445,0.0,working
2,12,41.83511111111111,0.0,working
2,13,41.781333333333336,0.0,working
2,14,40.885777777777776,0.0,working
2,15,41.51244444444444,0.0,working
2,16,41.446666666666665,0.0,working
2,17,41.58844444444445,0.0,working
2,18,41.36888888888889,0.0,working
2,19,41.30711111111111,0.0,working
2,20,40.55733333333333,0.0,working
2,21,39.14977777777778,0.0,working
2,22,37.599444444444444,0.0,working
2,23,38.38477777777778,0.8633333333333333,working
2,24,44.97240506329114,4.7275,working
2,25,151.13488636363638,11.423333333333334,working
2,26,184.61738636363637,26.9,working
2,27,159.791625,40.846666666666664,working
2,28,169.66080459770114,52.985,working
2,29,465.81722222222226,70.75666666666666,working
2,30,697.3438888888888,90.55666666666667,working
2,31,708.7379999999999,107.7,working
2,32,734.4361111111111,125.7,working
2,33,746.6827777777778,140.67,working
2,34,751.3259999999999,154.24,working
2,35,742.0172222222222,167.70000000000002,working
2,36,745.0286206896551,180.115,working
2,37,737.8778651685394,192.32666666666668,working
2,38,714.1035714285714,199.28500000000003,working
2,39,733.4892592592593,208.72,working
2,40,736.0909090909091,216.315,working
2,41,758.0731460674157,209.8125,working
2,42,757.060125,201.39999999999998,working
2,43,732.4582142857142,143.1825,working
2,44,710.5977528089887,219.29666666666665,working
2,45,699.2167045454545,147.4225,working
2,46,634.2575324675325,196.985,working
2,47,597.4424444444444,169.69333333333333,working
2,48,408.9967415730337,126.32000000000001,working
2,49,426.87617977528095,63.822500000000005,working
2,50,511.33597402597405,116.6575,working
2,51,532.8744444444444,75.33,working
2,52,663.4473033707865,146.34,working
2,53,656.8109302325581,94.08,working
2,54,658.9450632911393,102.1675,working
2,55,658.68125,71.795,working
2,56,648.8377906976744,62.89,working
2,57,640.7044736842105,94.56,working
2,58,632.8994382022472,145.44,working
2,59,661.2370786516854,154.87,working
2,60,643.9957303370787,106.97333333333334,working
2,61,658.5292405063291,127.99000000000001,working
2,62,667.7642696629213,142.755,working
2,63,674.1688505747127,124.285,working
2,64,671.3995180722892,106.46000000000001,working
2,65,673.5059036144578,62.754999999999995,working
2,66,660.972,47.64000000000001,working
2,67,673.0186516853933,40.4325,working
2,68,680.0437662337663,26.8525,working
2,69,654.2273863636364,12.92,working
2,70,639.8373033707865,4.415,working
