day_index,step,P_load_kW,P_pv_kW,day_type
1,346,28.150000000000002,11.172,working
1,347,28.75333333333333,11.658,working
1,348,28.665000000000003,12.144,working
1,349,28.508333333333336,12.63,working
1,350,28.986666666666668,13.142000000000001,working
1,351,28.265,13.654,working
1,352,27.845,14.166,working
1,353,28.311666666666667,14.677999999999999,working
1,354,28.84,15.19,working
1,355,28.745,13.556,working
1,356,30.776666666666667,11.921999999999999,working
1,357,28.436666666666667,10.288,working
1,358,28.528333333333336,8.654,working
1,359,128.08333333333334,7.02,working
1,360,164.77333333333334,9.738,working
1,361,168.79166666666666,12.456,working
1,362,166.80499999999998,15.174,working
1,363,165.795,17.892,working
1,364,168.66166666666666,20.61,working
1,365,170.36833333333334,21.232,working
1,366,171.69333333333336,21.854,working
1,367,176.01999999999998,22.476,working
1,368,176.38333333333333,23.098,working
1,369,177.3133333333333,23.72,working
1,370,177.15,24.477999999999998,working
1,371,176.91833333333332,25.236,working
1,372,175.84166666666667,25.994,working
1,373,175.74333333333334,26.752000000000002,working
1,374,177.34333333333333,27.51,working
1,375,124.45666666666666,27.474,working
1,376,89.38,27.438,working
1,377,91.70666666666666,27.402,working
1,378,92.34333333333332,27.366,working
1,379,97.17166666666667,27.33,working
1,380,90.63166666666666,29.018,working
1,381,92.21666666666665,30.706,working
1,382,94.75166666666667,32.394,working
1,383,89.29166666666667,34.082,working
1,384,85.12166666666667,35.77,working
1,385,83.815,36.212,working
1,386,84.185,36.654,working
1,387,84.23333333333333,37.096,working
1,388,84.81666666666666,37.538,working
1,389,85.11166666666666,37.98,working
1,390,83.75666666666667,39.126,working
1,391,84.34166666666667,40.272,working
1,392,82.21166666666666,41.418,working
1,393,81.86,42.564,working
1,394,81.10833333333333,43.71,working
1,395,84.61833333333333,44.85,working
1,396,85.35333333333334,45.99,working
1,397,88.65833333333335,47.129999999999995,working
1,398,85.13333333333333,48.269999999999996,working
1,399,85.375,49.41,working
1,400,90.54166666666667,48.708,working
1,401,89.60666666666667,48.006,working
1,402,89.605,47.303999999999995,working
1,403,92.25666666666666,46.602,working
1,404,92.21833333333335,45.9,working
1,405,91.06666666666666,48.99,working
1,406,96.43166666666667,52.08,working
1,407,90.84666666666668,55.17,working
1,408,92.39833333333333,58.260000000000005,working
1,409,92.06833333333333,61.35,working
1,410,93.63333333333333,62.374,working
1,411,94.20666666666666,63.398,working
1,412,95.53333333333335,64.422,working
1,413,98.57166666666667,65.446,working
1,414,101.37833333333333,66.47,working
1,415,101.90166666666666,67.276,working
1,416,105.25999999999999,68.082,working
1,417,106.84166666666665,68.888,working
1,418,109.09833333333334,69.694,working
1,419,110.86333333333333,70.5,working
1,420,109.54833333333333,72.008,working
1,421,111.10333333333334,73.516,working
1,422,110.83,75.024,working
1,423,114.01833333333333,76.53200000000001,working
1,424,115.41333333333334,78.04,working
