day_index,date_iso,day_type,step,P_load_kW,P_pv_kW
3,2025-09-08,working,37,920.0553333333332,862.8603333333334
3,2025-09-08,working,38,920.6633333333333,874.6955681818182
3,2025-09-08,working,39,912.0314606741573,861.2788505747126
3,2025-09-08,working,40,874.5281111111111,810.5164044943821
3,2025-09-08,working,41,917.7075912408759,598.5702439024391
3,2025-09-08,working,42,939.1020114942529,795.6349112426035
3,2025-09-08,working,43,945.8555555555556,746.2893714285714
3,2025-09-08,working,44,1015.6254237288136,797.9124210526315
3,2025-09-08,working,45,1063.026264367816,794.4207975460123
3,2025-09-08,working,46,1107.8510909090908,688.7197619047619
3,2025-09-08,working,47,1075.8670689655173,768.2132335329342
3,2025-09-08,working,48,887.3986781609195,604.1438505747126
3,2025-09-08,working,49,835.3072777777778,528.1437430167598
3,2025-09-08,working,50,868.3240000000001,555.608409090909
3,2025-09-08,working,51,874.7732777777778,497.69147928994084
3,2025-09-08,working,52,875.399388888889,580.1291379310345
3,2025-09-08,working,53,876.5847777777778,601.7221333333334
3,2025-09-08,working,54,951.6900555555555,786.3802272727273
3,2025-09-08,working,55,985.1375438596491,726.9889024390244
3,2025-09-08,working,56,991.494971098266,701.3714117647058
3,2025-09-08,working,57,986.3043023255814,546.1430722891566
3,2025-09-08,working,58,940.2283233532935,631.4494155844156
3,2025-09-08,working,59,929.8814619883042,587.1381764705883
3,2025-09-08,working,60,900.9163218390805,386.70830303030306
3,2025-09-08,working,61,907.7909944751382,245.92327272727275
3,2025-09-08,working,62,879.56,274.25810650887576
3,2025-09-08,working,63,875.920888888889,443.59468253968254
3,2025-09-08,working,64,856.0716111111112,414.60755555555556
3,2025-09-08,working,65,828.2981666666667,365.41387931034484
3,2025-09-08,working,66,734.5380555555556,295.4175
3,2025-09-08,working,67,511.8606818181818,210.77734104046246
3,2025-09-08,working,68,30.260166666666667,40.7940350877193
3,2025-09-08,working,69,19.480166666666666,18.28183908045977
3,2025-09-08,working,70,17.52375690607735,16.84166666666667
3,2025-09-08,working,71,18.082277777777776,13.32170731707317
3,2025-09-08,working,72,18.202388888888887,5.500494505494506
3,2025-09-08,working,73,22.03322222222222,0.522
3,2025-09-08,working,74,19.787444444444446,0.0
3,2025-09-08,working,75,15.881833333333333,0.0
3,2025-09-08,working,76,16.78088888888889,0.0
3,2025-09-08,working,77,17.007555555555555,0.0
3,2025-09-08,working,78,16.776,0.0
3,2025-09-08,working,79,17.035307262569834,0.0
3,2025-09-08,working,80,17.47011049723757,0.0
3,2025-09-08,working,81,20.32338888888889,0.0
3,2025-09-08,working,82,19.246444444444446,0.0
3,2025-09-08,working,83,19.648333333333333,0.0
3,2025-09-08,working,84,18.820055555555555,0.0
3,2025-09-08,working,85,17.639888888888887,0.0
3,2025-09-08,working,86,19.159666666666666,0.0
3,2025-09-08,working,87,17.556,0.0
3,2025-09-08,working,88,17.53772222222222,0.0
3,2025-09-08,working,89,16.816499999999998,0.0
3,2025-09-08,working,90,16.511899441340784,0.0
3,2025-09-08,working,91,16.16563535911602,0.0
3,2025-09-08,working,92,15.22761111111111,0.0
3,2025-09-08,working,93,16.950944444444445,0.0
3,2025-09-08,working,94,18.208833333333335,0.0
3,2025-09-08,working,95,17.977166666666665,0.0
4,2025-09-09,working,0,16.61277777777778,0.0
4,2025-09-09,working,1,14.866555555555555,0.0
4,2025-09-09,working,2,14.957333333333334,0.0
4,2025-09-09,working,3,15.65011111111111,0.0
4,2025-09-09,working,4,16.16177777777778,0.0
4,2025-09-09,working,5,16.064833333333333,0.0
4,2025-09-09,working,6,17.5915,0.0
4,2025-09-09,working,7,17.764666666666667,0.0
4,2025-09-09,working,8,17.6135,0.0
4,2025-09-09,working,9,16.252055555555554,0.0
4,2025-09-09,working,10,16.04722222222222,0.0
4,2025-09-09,working,11,16.206666666666667,0.0
4,2025-09-09,working,12,16.038722222222223,0.0
4,2025-09-09,working,13,17.577555555555556,0.0
4,2025-09-09,working,14,14.97161111111111,0.0
4,2025-09-09,working,15,14.63872222222222,0.0
4,2025-09-09,working,16,15.613888888888889,0.0
4,2025-09-09,working,17,15.488499999999998,0.0
4,2025-09-09,working,18,16.21461111111111,0.0
4,2025-09-09,working,19,17.75738888888889,0.0
4,2025-09-09,working,20,16.272444444444446,0.0
4,2025-09-09,working,21,11.361611111111111,0.0
4,2025-09-09,working,22,11.089333333333332,0.4929545454545455
4,2025-09-09,working,23,11.965833333333332,7.603188405797101
4,2025-09-09,working,24,10.842611111111111,9.45503937007874
4,2025-09-09,working,25,12.620944444444444,10.862328767123289
4,2025-09-09,working,26,12.952166666666667,12.325156250000001
4,2025-09-09,working,27,14.946666666666667,13.672142857142857
4,2025-09-09,working,28,29.14638888888889,32.63837837837838
4,2025-09-09,working,29,516.3161666666667,152.89387387387387
4,2025-09-09,working,30,912.4955,243.2097619047619
4,2025-09-09,working,31,891.5803888888889,299.85274509803924
4,2025-09-09,working,32,856.9106111111112,342.6209677419355
4,2025-09-09,working,33,824.4130555555556,358.6730769230769
4,2025-09-09,working,34,788.7339444444445,382.0376767676768
4,2025-09-09,working,35,757.8687570621469,416.9374193548387
4,2025-09-09,working,36,789.4167222222222,403.29796116504855
4,2025-09-09,working,37,776.412611111111,472.67258741258735
4,2025-09-09,working,38,772.4589444444443,734.9832098765432
4,2025-09-09,working,39,802.0714444444444,788.547696969697
4,2025-09-09,working,40,778.0743333333334,773.2136
4,2025-09-09,working,41,807.2175,801.591111111111
4,2025-09-09,working,42,854.2513333333333,841.0724203821655
4,2025-09-09,working,43,847.2822222222221,833.0625786163523
4,2025-09-09,working,44,936.2018452380953,717.9351968503937
4,2025-09-09,working,45,973.7268421052632,825.3068944099379
4,2025-09-09,working,46,960.8767251461989,702.4997575757576
4,2025-09-09,working,47,923.4901111111111,305.673202247191
4,2025-09-09,working,48,652.6694444444445,162.48664473684212
4,2025-09-09,working,49,640.8571666666667,36.84005524861878
4,2025-09-09,working,50,635.81975,13.263706896551723
4,2025-09-09,working,51,630.7823333333333,37.71734104046243
4,2025-09-09,working,52,592.3632777777777,62.01597315436241
4,2025-09-09,working,53,580.2345,75.04411764705883
4,2025-09-09,working,54,625.5250555555556,82.7326168224299
4,2025-09-09,working,55,631.4431666666667,81.04262135922329
4,2025-09-09,working,56,659.9962359550561,75.9495744680851
4,2025-09-09,working,57,664.3404444444444,68.90824324324325
4,2025-09-09,working,58,648.3588888888889,52.766666666666666
4,2025-09-09,working,59,631.2850555555556,38.632532467532464
4,2025-09-09,working,60,525.6895,27.967423312883433
4,2025-09-09,working,61,499.27483333333333,25.587333333333333
4,2025-09-09,working,62,510.29449999999997,24.44778481012658
4,2025-09-09,working,63,522.8341666666666,26.42342105263158
4,2025-09-09,working,64,502.8415,26.373049645390072
4,2025-09-09,working,65,500.0595,24.767163120567375
4,2025-09-09,working,66,479.41194444444443,23.073376623376625
4,2025-09-09,working,67,312.70644444444446,19.598757763975154
4,2025-09-09,working,68,30.313944444444445,14.317251461988304
4,2025-09-09,working,69,19.87061111111111,9.25090395480226
