day_index,date_iso,day_type,step,P_load_kW,P_pv_kW
3,2025-09-08,working,59,666.731658,419.650872
3,2025-09-08,working,60,617.648254,378.161930
3,2025-09-08,working,61,607.656578,356.322390
3,2025-09-08,working,62,597.257773,324.921123
3,2025-09-08,working,63,574.947006,292.123822
3,2025-09-08,working,64,540.963836,248.978174
3,2025-09-08,working,65,527.603208,207.326929
3,2025-09-08,working,66,496.214274,165.710758
3,2025-09-08,working,67,423.956922,122.796410
3,2025-09-08,working,68,319.218567,77.922736
3,2025-09-08,working,69,226.155068,55.030170
3,2025-09-08,working,70,122.087324,25.191385
3,2025-09-08,working,71,65.655669,13.729110
3,2025-09-08,working,72,29.135567,7.139861
3,2025-09-08,working,73,33.285362,4.349300
3,2025-09-08,working,74,32.472755,2.554087
3,2025-09-08,working,75,29.704994,0.016925
3,2025-09-08,working,76,30.101704,0.001548
3,2025-09-08,working,77,29.803490,0.000000
3,2025-09-08,working,78,29.271054,0.000000
3,2025-09-08,working,79,29.025754,0.000000
3,2025-09-08,working,80,28.578456,0.000000
3,2025-09-08,working,81,28.068490,0.000000
3,2025-09-08,working,82,27.445385,0.000000
3,2025-09-08,working,83,26.746717,0.000000
3,2025-09-08,working,84,25.198346,0.000000
3,2025-09-08,working,85,24.763684,0.000000
3,2025-09-08,working,86,24.669084,0.000000
3,2025-09-08,working,87,24.521631,0.000000
3,2025-09-08,working,88,24.581805,0.000000
3,2025-09-08,working,89,24.730279,2.935560
3,2025-09-08,working,90,24.324348,3.080970
3,2025-09-08,working,91,24.196850,0.000000
3,2025-09-08,working,92,23.765920,0.000000
3,2025-09-08,working,93,23.427473,1.626522
3,2025-09-08,working,94,22.833319,1.099126
3,2025-09-08,working,95,23.783558,0.556740
4,2025-09-09,working,0,20.867039,6.820955
4,2025-09-09,working,1,19.956617,1.564085
4,2025-09-09,working,2,20.129420,0.007246
4,2025-09-09,working,3,20.280731,0.060740
4,2025-09-09,working,4,21.049219,0.150228
4,2025-09-09,working,5,21.907101,0.225791
4,2025-09-09,working,6,22.464620,0.289664
4,2025-09-09,working,7,24.099170,0.851342
4,2025-09-09,working,8,25.577573,1.049009
4,2025-09-09,working,9,25.576134,1.336801
4,2025-09-09,working,10,25.546151,1.518398
4,2025-09-09,working,11,25.781651,1.930381
4,2025-09-09,working,12,26.475724,1.585543
4,2025-09-09,working,13,26.469729,2.236868
4,2025-09-09,working,14,26.398343,3.257030
4,2025-09-09,working,15,27.788174,3.479857
4,2025-09-09,working,16,28.907693,2.956656
4,2025-09-09,working,17,29.096510,3.949670
4,2025-09-09,working,18,29.462210,4.100146
4,2025-09-09,working,19,28.161320,4.115300
4,2025-09-09,working,20,28.065955,4.575896
4,2025-09-09,working,21,26.331669,5.788458
4,2025-09-09,working,22,25.434247,6.877934
4,2025-09-09,working,23,28.391610,8.621658
4,2025-09-09,working,24,28.843665,10.114138
4,2025-09-09,working,25,29.040806,12.287857
4,2025-09-09,working,26,29.526935,14.580832
4,2025-09-09,working,27,32.329035,20.737345
4,2025-09-09,working,28,99.765789,52.284029
4,2025-09-09,working,29,425.333135,137.614974
4,2025-09-09,working,30,550.016472,187.762587
4,2025-09-09,working,31,550.419930,225.178424
4,2025-09-09,working,32,557.287864,267.939480
4,2025-09-09,working,33,564.187851,302.658276
4,2025-09-09,working,34,565.169675,316.519759
4,2025-09-09,working,35,570.612486,340.360705
4,2025-09-09,working,36,593.122414,374.526854
4,2025-09-09,working,37,599.288018,401.624231
4,2025-09-09,working,38,607.067067,411.517913
4,2025-09-09,working,39,609.798874,420.220621
4,2025-09-09,working,40,594.171752,427.335356
4,2025-09-09,working,41,620.063571,451.406673
4,2025-09-09,working,42,634.151428,464.936114
4,2025-09-09,working,43,648.371518,479.221539
4,2025-09-09,working,44,660.220282,481.011177
4,2025-09-09,working,45,643.491176,487.439547
4,2025-09-09,working,46,627.512985,473.825132
4,2025-09-09,working,47,616.733449,466.384539
4,2025-09-09,working,48,465.117948,368.343303
4,2025-09-09,working,49,513.449105,405.417415
4,2025-09-09,working,50,564.481701,438.439613
4,2025-09-09,working,51,575.135733,446.393576
4,2025-09-09,working,52,582.507236,452.812309
4,2025-09-09,working,53,589.956121,452.383530
4,2025-09-09,working,54,616.896802,460.350176
4,2025-09-09,working,55,665.293192,481.774352
4,2025-09-09,working,56,680.406549,477.502195
4,2025-09-09,working,57,685.788563,465.610550
4,2025-09-09,working,58,685.944582,446.579563
4,2025-09-09,working,59,666.731658,419.650872
4,2025-09-09,working,60,617.648254,378.161930
4,2025-09-09,working,61,607.656578,356.322390
4,2025-09-09,working,62,597.257773,324.921123
4,2025-09-09,working,63,574.947006,292.123822
4,2025-09-09,working,64,540.963836,248.978174
4,2025-09-09,working,65,527.603208,207.326929
4,2025-09-09,working,66,496.214274,165.710758
4,2025-09-09,working,67,423.956922,122.796410
4,2025-09-09,working,68,319.218567,77.922736
4,2025-09-09,working,69,226.155068,55.030170
4,2025-09-09,working,70,122.087324,25.191385
4,2025-09-09,working,71,65.655669,13.729110
4,2025-09-09,working,72,29.135567,7.139861
4,2025-09-09,working,73,33.285362,4.349300
4,2025-09-09,working,74,32.472755,2.554087
4,2025-09-09,working,75,29.704994,0.016925
4,2025-09-09,working,76,30.101704,0.001548
4,2025-09-09,working,77,29.803490,0.000000
4,2025-09-09,working,78,29.271054,0.000000
4,2025-09-09,working,79,29.025754,0.000000
4,2025-09-09,working,80,28.578456,0.000000
4,2025-09-09,working,81,28.068490,0.000000
4,2025-09-09,working,82,27.445385,0.000000
4,2025-09-09,working,83,26.746717,0.000000
4,2025-09-09,working,84,25.198346,0.000000
4,2025-09-09,working,85,24.763684,0.000000
4,2025-09-09,working,86,24.669084,0.000000
4,2025-09-09,working,87,24.521631,0.000000
4,2025-09-09,working,88,24.581805,0.000000
4,2025-09-09,working,89,24.730279,2.935560
4,2025-09-09,working,90,24.324348,3.080970
4,2025-09-09,working,91,24.196850,0.000000
4,2025-09-09,working,92,23.765920,0.000000
4,2025-09-09,working,93,23.427473,1.626522
